,bookID,title,authors,author_only,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
6449,24215,Alice's Adventures in Wonderland: A Pop-Up Adaptation,Robert Sabuda/Lewis Carroll,Robert Sabuda,4.33,689847432,9780000000000.0,eng,12.0,21875.0,111,10/1/03,Simon and Schuster
1422,4944,The Very Hungry Caterpillar,Eric Carle,Eric Carle,4.29,399226907,9780000000000.0,eng,13.0,3945.0,262,3/23/94,Philomel Books
1315,4600,Moo Baa La La La!,Sandra Boynton,Sandra Boynton,4.2,689861133,9780000000000.0,eng,14.0,28925.0,527,9/6/04,Simon and Schuster
2172,7769,Dr. Seuss's ABC,Dr. Seuss,Dr. Seuss,4.08,679882812,9780000000000.0,eng,21.0,27139.0,731,11/26/96,Random House
10425,42278,I Can Fly,Ruth Krauss/Mary Blair,Ruth Krauss,4.24,307001466,9780000000000.0,eng,24.0,1069.0,70,9/9/03,Golden Books
1544,5322,The Christmas Story,Jane Werner Watson/Eloise Wilkin,Jane Werner Watson,4.43,307989135,9780000000000.0,eng,24.0,1304.0,32,8/1/00,Golden Books
9706,38674,Walt Disney's Peter Pan (A Little Golden Book),Walt Disney Company/Al Dempster,Walt Disney Company,4.39,736402381,9780000000000.0,eng,24.0,5661.0,87,1/23/07,Golden/Disney
3991,14118,Disney's Beauty and the Beast (A Little Golden Book),Teddy Slater/Ron Dias/Ric González,Teddy Slater,4.41,736421971,9780000000000.0,eng,24.0,28824.0,132,5/11/04,Golden/Disney
8170,31314,Barnyard Dance,Sandra Boynton,Sandra Boynton,4.25,1563054426,9780000000000.0,eng,24.0,21265.0,480,10/1/93,Workman Publishing Company
5304,19106,The Nose,Nikolai Gogol/Kevin Hawkes,Nikolai Gogol,3.89,688104649,9780000000000.0,eng,31.0,12968.0,446,9/29/94,HarperCollins
7571,29019,The Twelve Terrors of Christmas,John Updike/Edward Gorey,John Updike,4.23,764937103,9780000000000.0,eng,32.0,2552.0,103,5/1/06,Pomegranate Communications
173,397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,Abraham Lincoln,4.53,395883970,9780000000000.0,eng,32.0,5239.0,76,2/2/98,HMH Books for Young Readers
8925,34505,A Tourist Guide to Lancre,Terry Pratchett/Stephen Briggs/Paul Kidby,Terry Pratchett,4.06,552146080,9780000000000.0,eng,32.0,1640.0,19,5/1/98,Transworld Publishers
7540,28873,Dragonology (Ologies #1),Dugald A. Steer/Ernest Drake/Wayne Anderson/Helen Ward/Douglas Carrel,Dugald A. Steer,4.11,763623296,9780000000000.0,eng,32.0,7726.0,221,10/13/03,Candlewick Press
8222,31488,The Rainbow Goblins,Ul De Rico,Ul De Rico,4.42,500277591,9780000000000.0,eng,32.0,1417.0,149,6/17/78,Thames  Hudson
2757,10118,Saint George and the Dragon,Margaret Hodges/Trina Schart Hyman,Margaret Hodges,4.18,316367958,9780000000000.0,eng,32.0,6935.0,389,9/4/90,Little Brown and Company
5625,20692,Chester's Way,Kevin Henkes,Kevin Henkes,4.22,688154727,9780000000000.0,eng,32.0,5218.0,294,9/22/97,Greenwillow Books
2313,8256,Christmas in the Big Woods,Laura Ingalls Wilder/Renée Graef,Laura Ingalls Wilder,4.2,64434877,9780000000000.0,eng,32.0,2142.0,72,9/20/97,HarperCollins
2263,8073,Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs #1),Judi Barrett/Ron Barrett,Judi Barrett,4.16,689707495,9780000000000.0,eng,32.0,124141.0,2038,4/1/82,Atheneum Books for Young Readers
2252,8014,Mr. Bump,Roger Hargreaves,Roger Hargreaves,4.03,843178388,9780000000000.0,eng,32.0,1701.0,74,3/23/98,Price Stern Sloan
4729,16963,The Hello Goodbye Window,Norton Juster/Chris Raschka,Norton Juster,3.87,786809140,9780000000000.0,eng,32.0,8898.0,1311,4/26/05,Little Brown and Company
1889,6668,The Enormous Crocodile,Roald Dahl/Quentin Blake,Roald Dahl,3.78,142302457,9780000000000.0,eng,32.0,13986.0,525,3/24/03,Puffin Books
1424,4947,One Hundred Hungry Ants,Elinor J. Pinczes/Bonnie Mackain,Elinor J. Pinczes,4.05,395971233,9780000000000.0,eng,32.0,2114.0,166,9/27/99,HMH Books for Young Readers
5112,18419,The Kissing Hand,Audrey Penn/Ruth E. Harper/Nancy M. Leak,Audrey Penn,4.43,1933718005,9780000000000.0,eng,32.0,57737.0,1628,10/15/93,Tanglewood
2301,8227,Winter Days in the Big Woods,Laura Ingalls Wilder/Renée Graef,Laura Ingalls Wilder,4.28,64433730,9780000000000.0,eng,32.0,1538.0,59,9/15/95,HarperCollins
5626,20694,Julius the Baby of the World,Kevin Henkes,Kevin Henkes,4.28,688143881,9780000000000.0,eng,32.0,6697.0,348,9/21/95,Greenwillow Books
3662,13173,A Little Prairie House,Laura Ingalls Wilder/Renée Graef,Laura Ingalls Wilder,4.19,64435261,9780000000000.0,eng,32.0,1561.0,45,3/21/99,HarperCollins
3350,12201,Stopping by Woods on a Snowy Evening,Robert Frost/Susan Jeffers,Robert Frost,4.4,525467343,9780000000000.0,eng,32.0,9205.0,322,9/24/01,Dutton
236,639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,Kevin O'Malley,4.08,802789471,9780000000000.0,eng,32.0,1773.0,274,4/1/05,Walker and Company
8584,32929,Goodnight Moon,Margaret Wise Brown/Clement Hurd,Margaret Wise Brown,4.28,60775858,9780000000000.0,eng,32.0,276426.0,4975,1/23/07,HarperCollins
1577,5402,"Stand Back Said the Elephant ""I'm Going to Sneeze!""",Patricia Thomas/Wallace Tripp,Patricia Thomas,4.39,688093388,9780000000000.0,eng,32.0,1004.0,130,4/23/90,William Morrow
6636,24904,A Birthday for Frances,Russell Hoban/Lillian Hoban,Russell Hoban,4.24,99432447,9780000000000.0,eng,32.0,2256.0,71,6/6/02,HarperCollins
1899,6694,The Giraffe and the Pelly and Me,Roald Dahl/Quentin Blake,Roald Dahl,3.82,140568190,9780000000000.0,eng,32.0,17232.0,713,11/29/01,Puffin Books
5356,19318,The Tomten,Astrid Lindgren/Harald Wiberg,Astrid Lindgren,4.24,698115910,9780000000000.0,eng,32.0,1599.0,109,10/6/97,G. P. Putnam's Sons
5916,22208,Hush! A Thai Lullaby,Minfong Ho/Holly Meade,Minfong Ho,4.03,531071669,9780000000000.0,eng,32.0,1315.0,197,3/1/00,Scholastic
2369,8598,Eats Shoots and Leaves: Why Commas Really Do Make a Difference!,Lynne Truss/Bonnie Timmons,Lynne Truss,4.15,399244913,9780000000000.0,eng,32.0,1371.0,205,7/25/06,G. P. Putnam's Sons
4064,14403,The Story of Ruby Bridges,Robert Coles/George Ford,Robert Coles,4.43,439598443,9780000000000.0,eng,32.0,11403.0,605,6/1/04,Scholastic
827,2718,Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan/Kadir Nelson/Roslyn M. Jordan,Deloris Jordan,4.2,689834195,9780000000000.0,eng,32.0,1178.0,173,11/1/03,Simon and Schuster
3454,12558,The Moon Lady,Amy Tan/Gretchen Schields,Amy Tan,3.97,689806167,9780000000000.0,eng,32.0,1388.0,64,11/1/95,Aladdin
8935,34524,Where's My Cow? (Discworld #34.5),Terry Pratchett/Melvyn Grant,Terry Pratchett,4.11,038560937X,9780000000000.0,eng,32.0,9116.0,294,10/1/05,Doubleday
1807,6332,Dirty Beasts,Roald Dahl/Quentin Blake,Roald Dahl,4.01,142302279,9780000000000.0,eng,32.0,4075.0,121,10/14/02,Puffin Books
9434,37377,On the Night You Were Born,Nancy Tillman,Nancy Tillman,4.36,312346069,9780000000000.0,eng,32.0,12837.0,505,10/17/06,Feiwel and Friends
10842,44186,The Monster at the End of this Book,Jon Stone/Michael J. Smollin,Jon Stone,4.44,037582913X,9780000000000.0,eng,32.0,114297.0,2565,5/11/04,Golden Books
3971,14063,The Legend of the Poinsettia,Tomie dePaola,Tomie dePaola,4.19,698115678,9780000000000.0,eng,32.0,2401.0,115,10/6/97,Puffin Books
3672,13215,Life Doesn't Frighten Me,Maya Angelou/Jean-Michel Basquiat/Sara Jane Boyers,Maya Angelou,4.41,1556702884,9780000000000.0,eng,32.0,1246.0,164,2/6/96,Harry N. Abrams
2179,7783,Oh Say Can You Say?,Dr. Seuss,Dr. Seuss,4.01,7175221,9780000000000.0,eng,36.0,5868.0,162,11/1/05,HarperCollins
5624,20687,Lilly's Big Day,Kevin Henkes,Kevin Henkes,4.2,60742364,9780000000000.0,eng,40.0,3177.0,205,3/28/06,Greenwillow Books
2415,8768,Today I Feel Silly Other Moods That Make My Day,Jamie Lee Curtis/Laura Cornell,Jamie Lee Curtis,4.16,60245603,9780000000000.0,eng,40.0,4171.0,518,7/31/07,HarperCollins
10349,41861,John Paul George and Ben,Lane Smith,Lane Smith,4.21,786848936,9780000000000.0,eng,40.0,3500.0,393,4/1/06,Little Brown and Company
5127,18486,Frankenstein Makes a Sandwich,Adam Rex,Adam Rex,4.21,152057668,9780000000000.0,eng,40.0,1911.0,276,9/1/06,Houghton Mifflin Harcourt
580,1853,Wild About Books,Judy Sierra/Marc Brown,Judy Sierra,4.17,037582538X,9780000000000.0,eng,40.0,4541.0,378,8/10/04,Knopf
9915,39876,The OK Book,Amy Krouse Rosenthal/Tom Lichtenheld,Amy Krouse Rosenthal,3.96,61152552,9780000000000.0,eng,40.0,1019.0,189,4/24/07,HarperCollins
5433,19542,Where the Wild Things Are,Maurice Sendak,Maurice Sendak,4.23,60254920,9780000000000.0,eng,40.0,910555.0,12798,12/26/12,HarperCollins
9792,39106,Rosa,Nikki Giovanni/Bryan Collier,Nikki Giovanni,4.35,805071067,9780000000000.0,eng,40.0,6097.0,635,10/1/05,Henry Holt and Co. (BYR)
1317,4602,Dooby Dooby Moo,Doreen Cronin/Betsy Lewin,Doreen Cronin,4.1,689845073,9780000000000.0,eng,40.0,7823.0,250,8/8/06,Atheneum Books for Young Readers
9665,38528,Cookies: Bite-Size Life Lessons,Amy Krouse Rosenthal/Jane Dyer,Amy Krouse Rosenthal,4.18,006058081X,9780000000000.0,eng,40.0,1162.0,185,5/2/06,HarperCollins
6436,24172,Amelia's Notebook (Amelia's Notebooks #1),Marissa Moss,Marissa Moss,4.01,1416909052,9780000000000.0,eng,40.0,5305.0,166,2/1/06,Simon and Schuster
3834,13664,Catwings (Catwings #1),Ursula K. Le Guin/S.D. Schindler,Ursula K. Le Guin,4.09,439551897,9780000000000.0,eng,40.0,6598.0,600,5/1/03,Orchard Books
5723,21315,Diary of a Spider,Doreen Cronin/Harry Bliss,Doreen Cronin,4.25,60001534,9780000000000.0,eng,40.0,8134.0,292,7/26/05,HarperCollins
1716,5937,Love,Pablo Neruda,Pablo Neruda,4.46,786881488,9780000000000.0,eng,43.0,1333.0,68,6/16/95,Miramax Books
4992,18005,How I Became a Pirate,Melinda Long/David Shannon,Melinda Long,4.08,152018484,9780000000000.0,eng,44.0,24098.0,586,9/1/03,HMH Books for Young Readers
5963,22344,Creatures of the Night,Neil Gaiman/Michael Zulli,Neil Gaiman,3.83,1569719365,9780000000000.0,eng,46.0,1706.0,171,12/27/04,Dark Horse Books
9506,37684,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia #1)",Hiawyn Oram/C.S. Lewis/Tudor Humphries,Hiawyn Oram,4.25,60556501,9780000000000.0,eng,48.0,6307.0,64,9/21/04,HarperCollins
3831,13660,Jane on Her Own (Catwings #4),Ursula K. Le Guin/S.D. Schindler,Ursula K. Le Guin,4.17,439551927,9780000000000.0,eng,48.0,1322.0,87,10/1/06,Orchard Books
2707,9919,A Christmas Memory,Truman Capote,Truman Capote,4.24,375837892,9780000000000.0,eng,48.0,9982.0,849,10/10/06,Knopf
7773,29947,There's No Such Place As Far Away,Richard Bach/H. Lee Shapiro/دل آرا قهرمان,Richard Bach,3.93,385319274,9780000000000.0,eng,48.0,2737.0,83,1/12/98,Delta
7634,29313,Sector 7,David Wiesner,David Wiesner,4.21,395746566,9780000000000.0,eng,48.0,5066.0,523,9/20/99,Clarion Books
2181,7785,I Can Read With My Eyes Shut!,Dr. Seuss,Dr. Seuss,4.2,7158513,9780000000000.0,eng,48.0,16917.0,444,5/6/03,HarperCollins
6363,23913,The Marriage of Heaven and Hell,William Blake,William Blake,4.24,486281221,9780000000000.0,eng,48.0,7163.0,245,9/1/94,Dover Publications
7587,29084,Flap Your Wings,P.D. Eastman,P.D. Eastman,4.24,375802436,9780000000000.0,eng,48.0,1281.0,64,1/25/00,Random House
8251,31649,James and The Giant Peach (Disney's),Roald Dahl/Karey Kirkpatrick/Lane Smith,Roald Dahl,4.03,140382976,9780000000000.0,eng,48.0,1073.0,32,7/4/96,Puffin Books
3353,12204,The Road Not Taken and Other Poems,Robert Frost,Robert Frost,4.28,486275507,9780000000000.0,eng,49.0,33928.0,251,4/19/93,Dover Publications
4686,16794,The Facts in the Case of the Departure of Miss Finch,Neil Gaiman/Michael Zulli,Neil Gaiman,3.54,1593076673,9780000000000.0,eng,51.0,2038.0,198,4/1/08,Dark Horse Books
3671,13211,and Still I Rise,Maya Angelou/Linda Sunshine/Diego Rivera,Maya Angelou,4.42,375505962,9780000000000.0,eng,54.0,3720.0,240,8/7/01,Random House
21,22,Bill Bryson's African Diary,Bill Bryson,Bill Bryson,3.44,767915062,9780000000000.0,eng,55.0,7270.0,499,12/3/02,Broadway Books
5357,19319,Lotta on Troublemaker Street,Astrid Lindgren/Robin Preiss Glasser,Astrid Lindgren,3.98,689846738,9780000000000.0,eng,55.0,1429.0,24,10/1/01,Aladdin Paperbacks
5978,22373,Kill Your Boyfriend,Grant Morrison/Philip Bond/D'Israeli/Daniel Vozzo,Grant Morrison,3.57,156389453X,9780000000000.0,eng,55.0,1269.0,66,12/31/98,Vertigo
525,1627,Brokeback Mountain,Annie Proulx,Annie Proulx,3.94,743271327,9780000000000.0,eng,55.0,24985.0,1751,12/2/05,Scribner
1797,6295,Howl and Other Poems,Allen Ginsberg/William Carlos Williams,Allen Ginsberg,4.13,872863107,9780000000000.0,eng,56.0,85143.0,1284,1/1/01,City Lights
2184,7789,Daisy-Head Mayzie,Dr. Seuss,Dr. Seuss,3.87,679867120,9780000000000.0,eng,56.0,3196.0,137,1/11/95,Random House
8914,34473,In Praise of Shadows,Jun'ichirō Tanizaki/Edward G. Seidensticker/Thomas J. Harper/Charles Moore,Jun'ichirō Tanizaki,4.09,918172020,9780000000000.0,eng,56.0,6674.0,480,12/1/77,Leete's Island Books
2178,7781,The 500 Hats of Bartholomew Cubbins,Dr. Seuss,Dr. Seuss,4.04,039484484X,9780000000000.0,eng,56.0,13097.0,324,12/9/89,Random House
5365,19337,The Tale of the Flopsy Bunnies,Beatrix Potter,Beatrix Potter,4.19,072324779X,9780000000000.0,eng,58.0,5209.0,130,3/7/02,Warne
6055,22632,The Trial and Death of Socrates (Euthyphro Apology Crito Phaedo (death scene only)),Plato/G.M.A. Grube/John M. Cooper,Plato,4.08,872205541,9780000000000.0,eng,58.0,26252.0,344,6/1/01,Hackett Publishing Company
2932,10814,Here Is New York,E.B. White/Roger Angell/Barbara Cohen/Judith Stonehill,E.B. White,4.3,1892145022,9780000000000.0,eng,58.0,5379.0,544,1/1/00,Little Bookroom
9355,37024,The Bears on Hemlock Mountain,Alice Dalgliesh/Helen Sewell,Alice Dalgliesh,3.79,689716044,9780000000000.0,eng,58.0,2164.0,147,10/31/92,Aladdin
2173,7772,Dr. Seuss's Sleep Book,Dr. Seuss,Dr. Seuss,4.17,394800915,9780000000000.0,eng,58.0,8967.0,351,7/24/12,Random House
8016,30658,Meditations on First Philosophy,René Descartes/Donald A. Cress,René Descartes,3.71,872201929,9780000000000.0,eng,59.0,16700.0,353,10/1/93,Hackett Publishing Company  Inc.
2188,7797,Ten Apples Up On Top!,Theo LeSieg/Dr. Seuss/Roy McKie,Theo LeSieg,4.12,7169973,9780000000000.0,eng,62.0,31251.0,494,8/4/03,HarperCollins
5232,18850,On Being Ill,Virginia Woolf/Hermione Lee,Virginia Woolf,4.02,1930464061,9780000000000.0,eng,63.0,1083.0,96,10/1/02,Paris Press
4082,14479,Amelia Bedelia Helps Out,Peggy Parish/Lynn Sweat,Peggy Parish,4.25,60511117,9780000000000.0,eng,64.0,7764.0,67,1/18/05,Greenwillow Books
5236,18860,The Little Red Lighthouse and the Great Gray Bridge,Hildegarde Hoyt Swift/Lynd Ward,Hildegarde Hoyt Swift,4.26,152045732,9780000000000.0,eng,64.0,2276.0,101,11/1/03,Houghton Mifflin Harcourt
4081,14477,Teach Us Amelia Bedelia,Peggy Parish/Lynn Sweat,Peggy Parish,4.21,60511141,9780000000000.0,eng,64.0,3134.0,98,6/29/04,Greenwillow Books
2272,8093,The Stone Fey,Robin McKinley/John Clapp,Robin McKinley,3.36,152000178,9780000000000.0,eng,64.0,1036.0,78,9/1/98,HMH Books for Young Readers
2174,7775,Happy Birthday to You!,Dr. Seuss,Dr. Seuss,4.13,394800761,9780000000000.0,eng,64.0,4344.0,262,8/12/59,Random House
7371,28351,and to Think That I Saw It on Mulberry Street,Dr. Seuss,Dr. Seuss,4.0,7169922,9780000000000.0,eng,64.0,19663.0,482,8/4/03,Vanguard Press
7370,28350,I Wish That I Had Duck Feet,Theo LeSieg/Dr. Seuss/Barney Tobey,Theo LeSieg,4.16,000717313X,9780000000000.0,eng,64.0,9119.0,140,1/5/04,HarperCollins
4078,14473,Merry Christmas Amelia Bedelia,Peggy Parish/Lynn Sweat,Peggy Parish,4.29,60099453,9780000000000.0,eng,64.0,2508.0,63,10/1/02,Greenwillow Books
1299,4488,Bridget Jones's Guide to Life,Helen Fielding,Helen Fielding,3.49,142000213,9780000000000.0,eng,64.0,1104.0,34,4/1/01,Penguin
3990,14117,Beauty and the Beast,Max Eilenberg/Angela Barrett,Max Eilenberg,4.37,763631604,9780000000000.0,eng,64.0,3682.0,133,11/14/06,Candlewick Press
11178,45688,Green Eggs and Ham,Dr. Seuss,Dr. Seuss,4.3,394800168,9780000000000.0,eng,64.0,694950.0,10334,1/1/88,Random House
7632,29290,Time of Wonder,Robert McCloskey,Robert McCloskey,4.08,140502017,9780000000000.0,eng,64.0,4380.0,308,6/15/85,Puffin Books
810,2677,A Modest Proposal and Other Satirical Works,Jonathan Swift,Jonathan Swift,4.05,486287599,9780000000000.0,eng,64.0,13562.0,141,2/2/96,Dover Publications
2175,7777,McElligot's Pool,Dr. Seuss,Dr. Seuss,4.06,394800834,9780000000000.0,eng,64.0,4560.0,253,9/12/47,Random House
778,2529,The Tale of the Unknown Island,José Saramago/Peter Sís/Margaret Jull Costa,José Saramago,3.89,156013037,9780000000000.0,eng,64.0,3331.0,242,10/5/00,Mariner Books
11169,45679,The Giving Tree,Shel Silverstein,Shel Silverstein,4.37,60256656,9780000000000.0,eng,64.0,1008685.0,19774,10/7/64,HarperCollins
4079,14475,Amelia Bedelia Goes Camping,Peggy Parish/Lynn Sweat,Peggy Parish,4.13,60511060,9780000000000.0,eng,64.0,2082.0,76,4/15/03,Greenwillow Books
7631,29289,Lentil,Robert McCloskey,Robert McCloskey,4.13,140502874,9780000000000.0,eng,64.0,4076.0,104,4/27/78,Puffin Books
5138,18525,Dr. Faustus,Christopher Marlowe,Christopher Marlowe,3.8,486282082,9780000000000.0,eng,64.0,45469.0,935,10/20/94,Dover Publications
3075,11301,Horton Hatches the Egg,Dr. Seuss,Dr. Seuss,4.16,7175191,9780000000000.0,eng,64.0,37851.0,597,10/2/04,HarperCollins
10356,41890,Who Wants a Cheap Rhinoceros?,Shel Silverstein,Shel Silverstein,3.96,689851138,9780000000000.0,eng,64.0,1907.0,124,8/1/02,Simon and Schuster
2177,7779,Horton Hears a Who!,Dr. Seuss,Dr. Seuss,4.18,679800034,9780000000000.0,eng,64.0,89920.0,1207,10/10/90,Random House
155,330,On Beyond Zebra!,Dr. Seuss,Dr. Seuss,4.04,394800842,9780000000000.0,eng,64.0,2815.0,164,9/12/55,Random House
8220,31486,Ruby the Red Fairy (Rainbow Magic #1),Daisy Meadows/Georgie Ripper,Daisy Meadows,3.84,043973861X,9780000000000.0,eng,65.0,4334.0,319,5/1/05,Scholastic
3165,11580,Creepshow,Stephen King/Bernie Wrightson/Michele Wrightson,Stephen King,4.07,452253802,9780000000000.0,eng,66.0,34392.0,275,8/1/82,Plume
8217,31482,Sunny The Yellow Fairy (Rainbow Magic #3),Daisy Meadows/Georgie Ripper,Daisy Meadows,3.82,439744660,9780000000000.0,eng,67.0,2364.0,67,7/1/05,Little Apple
170,385,On Bullshit,Harry G. Frankfurt,Harry G. Frankfurt,3.57,691122946,9780000000000.0,eng,67.0,9358.0,995,1/30/05,Princeton University Press
1890,6670,The Magic Finger,Roald Dahl/Quentin Blake,Roald Dahl,3.68,141311290,9780000000000.0,eng,67.0,23558.0,1092,4/5/01,Puffin Books
5590,20413,A Child's Garden of Verses,Robert Louis Stevenson/Tasha Tudor,Robert Louis Stevenson,4.3,689823827,9780000000000.0,eng,67.0,22227.0,431,2/1/99,Simon and Schuster
9396,37191,Mercy Watson to the Rescue,Kate DiCamillo/Chris Van Dusen,Kate DiCamillo,4.05,763622702,9780000000000.0,eng,68.0,8987.0,831,8/23/05,Candlewick Press
351,1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones #2),Barbara Park/Denise Brunkus,Barbara Park,3.99,679838864,9780000000000.0,eng,68.0,11178.0,623,2/16/93,Random House
3627,13104,The Celestine Prophecy: A Pocket Guide to the Nine Insights,James Redfield,James Redfield,3.87,446912069,9780000000000.0,eng,68.0,1256.0,100,12/2/05,Warner Books (NY)
2099,7556,Quimby The Mouse,Chris Ware,Chris Ware,4.09,022407265X,9780000000000.0,eng,69.0,1411.0,32,11/20/03,Jonathan Cape
8632,33153,A Tempest,Aimé Césaire/Richard Miller,Aimé Césaire,3.56,1559362103,9780000000000.0,eng,69.0,1422.0,76,5/1/02,Theatre Communications Group
1612,5513,The Diary of Anne Frank,Frances Goodrich/Albert Hackett/Wendy Kesselman,Frances Goodrich,4.06,082221718X,9780000000000.0,eng,70.0,1320.0,61,10/1/98,Dramatists Play Service
1714,5932,Twenty Love Poems and a Song of Despair,Pablo Neruda/W.S. Merwin/Cristina García,Pablo Neruda,4.3,143039962,9780000000000.0,eng,70.0,37942.0,1105,12/26/06,Penguin
9397,37195,Mercy Watson: Princess in Disguise,Kate DiCamillo/Chris Van Dusen,Kate DiCamillo,4.16,763630144,9780000000000.0,eng,70.0,2973.0,202,7/10/07,Candlewick Press
2180,7784,The Lorax,Dr. Seuss,Dr. Seuss,4.35,679889108,9780000000000.0,eng,72.0,260054.0,3532,2/24/98,Random House
9394,37189,Mercy Watson Goes for a Ride,Kate DiCamillo/Chris Van Dusen,Kate DiCamillo,4.15,763623326,9780000000000.0,eng,72.0,4162.0,332,5/9/06,Candlewick Press
2249,8004,A Redwall Winter's Tale,Brian Jacques/Christopher Denise,Brian Jacques,4.13,142401986,9780000000000.0,eng,72.0,2353.0,43,10/21/04,Puffin Books
3011,11043,House of Incest,Anaïs Nin/Val Telberg,Anaïs Nin,3.8,804001480,9780000000000.0,eng,72.0,1843.0,143,2/1/91,Swallow Press
5358,19321,The Tale of Peter Rabbit,Beatrix Potter,Beatrix Potter,4.18,723247706,9780000000000.0,eng,72.0,188842.0,1575,3/7/02,Warne
4263,15221,The Lord of the Rings: The Two Towers: Visual Companion,Jude Fisher/Viggo Mortensen,Jude Fisher,4.51,618258027,9780000000000.0,eng,72.0,4524.0,23,11/6/02,Houghton Mifflin Harcourt
7586,29083,Snow,Roy McKie/P.D. Eastman,Roy McKie,4.15,394800273,9780000000000.0,eng,72.0,4383.0,88,10/12/62,Random House
8381,32184,Thanksgiving on Thursday (Magic Tree House #27),Mary Pope Osborne/Salvatore Murdocca,Mary Pope Osborne,3.85,375806156,9780000000000.0,eng,73.0,6361.0,209,9/24/02,Random House
6011,22472,Discourse on the Origin of Inequality,Jean-Jacques Rousseau,Jean-Jacques Rousseau,3.82,486434141,9780000000000.0,eng,73.0,9975.0,210,6/4/04,Dover Publications
499,1554,Oedipus Rex (The Theban Plays #1),Sophocles/J.E. Thomas,Sophocles,3.7,1580495931,9780000000000.0,eng,75.0,141555.0,1776,6/22/06,Prestwick House - (Literary Touchstone Classic)
1563,5358,The Firm,Robin Waterfield/John Grisham,Robin Waterfield,4.01,582418275,9780000000000.0,eng,76.0,540910.0,3378,2/15/00,Addison Wesley Publishing Company
5329,19178,The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge/Stanley Appelbaum,Samuel Taylor Coleridge,3.94,486272664,9780000000000.0,eng,76.0,3058.0,78,9/18/92,Dover Publications
2146,7695,Holy the Firm,Annie Dillard,Annie Dillard,4.22,60915439,9780000000000.0,eng,76.0,3722.0,339,12/30/98,HarperCollins
7769,29934,What Work Is,Philip Levine,Philip Levine,4.27,679740589,9780000000000.0,eng,77.0,2102.0,90,4/21/92,Knopf
887,2899,The Pigeon,Patrick Süskind,Patrick Süskind,3.68,140105832,9780000000000.0,eng,77.0,6254.0,423,6/29/89,Penguin
1531,5296,An Ideal Husband,Oscar Wilde,Oscar Wilde,4.04,048641423X,9780000000000.0,eng,78.0,32946.0,895,2/5/01,Dover Publications
7161,27418,Theogony / Works and Days,Hesiod/M.L. West,Hesiod,3.75,192839411,9780000000000.0,eng,79.0,9276.0,163,5/13/99,Oxford University Press
11067,45348,When the Darkness Will Not Lift: Doing What We Can While We Wait for God—and Joy,John Piper,John Piper,4.13,1581348762,9780000000000.0,eng,79.0,1279.0,126,12/14/06,Crossway Books
7257,27803,The Jew of Malta,Christopher Marlowe/H. Havelock Ellis,Christopher Marlowe,3.6,486431843,9780000000000.0,eng,80.0,2963.0,120,8/5/03,Dover Publications
6039,22575,Sit Walk Stand,Watchman Nee,Watchman Nee,4.42,842358935,9780000000000.0,eng,80.0,2663.0,141,11/4/77,Tyndale House
3164,11574,The Body,Stephen King/Robin Waterfield,Stephen King,4.25,582418178,9780000000000.0,eng,80.0,29670.0,974,12/20/99,Penguin
8218,31483,Sky The Blue Fairy (Rainbow Magic #5),Daisy Meadows/Georgie Ripper,Daisy Meadows,3.83,439746841,9780000000000.0,eng,80.0,2267.0,82,11/1/05,Scholastic
8219,31484,Heather The Violet Fairy (Rainbow Magic #7),Daisy Meadows/Georgie Ripper,Daisy Meadows,3.86,439746868,9780000000000.0,eng,80.0,2263.0,82,2/1/06,Scholastic
970,3254,The Trojan Women,Euripides/Gilbert Murray,Euripides,3.89,1420927329,9780000000000.0,eng,80.0,4577.0,126,1/1/06,Digireads.com
2154,7718,The Metamorphosis (Graphic Novel Adaptation),Peter Kuper/Franz Kafka/Kerstin Hasenpusch,Peter Kuper,3.79,1400052998,9780000000000.0,eng,80.0,3192.0,307,7/20/04,Broadway Books
8216,31481,Inky The Indigo Fairy (Rainbow Magic #6),Daisy Meadows/Georgie Ripper,Daisy Meadows,3.79,043974685X,9780000000000.0,eng,80.0,2042.0,59,1/1/06,Scholastic
10355,41887,Uncle Shelby's ABZ Book,Shel Silverstein,Shel Silverstein,4.36,067121148X,9780000000000.0,eng,80.0,2550.0,222,9/9/85,Gallery Books
5399,19430,Santa Claus Doesn't Mop Floors (The Adventures of the Bailey School Kids #3),Debbie Dadey/Marcia Thornton Jones/John Steven Gurney,Debbie Dadey,3.75,590444778,9780000000000.0,eng,80.0,1146.0,42,10/1/91,Scholastic
1440,4986,God Bless You Dr. Kevorkian,Kurt Vonnegut Jr.,Kurt Vonnegut Jr.,3.84,743422007,9780000000000.0,eng,80.0,12754.0,558,5/22/01,Washington Square Press
10436,42369,The Hundred Dresses,Eleanor Estes/Louis Slobodkin,Eleanor Estes,4.09,152052607,9780000000000.0,eng,80.0,30311.0,2306,9/1/04,HMH Books for Young Readers
